name,capital,p_tax_rate,sector,radius,x,y
"Marsh & McLennan Companies, Inc.",20532,35,Insurance,4.871857141,566.592473,214.5135971
CA Technologies,11079,35,Information technology,3.578732178,570.2492299,188.1977575
"W.W. Grainger, Inc.",15643,35,Industrials,4.252447295,591.0641296,203.6187706
Fifth Third Bancorp,14170,35,Financials,4.04728551,585.5812711,184.3006382
Ross Stores Inc.,13052,35,Retailers,3.884341901,591.5322034,194.5218728
"Beam, Inc.",9808,35,Consumer products,3.367201806,585.2970159,175.9886926
"PetSmart, Inc.",6512,35,Retailers,2.743696776,578.7519824,160.5645296
"Total System Services, Inc.",4510,35,Information technology,2.283322141,574.3935684,150.9015711
Urban Outfitters Inc.,5949,35,Retailers,2.622411867,573.2820204,156.6879978
Molex Incorporated,4604,35,Information technology,2.306994582,578.6384345,154.488895
Apache Corp.,29247,36,Energy,5.814596461,612.632415,168.7489663
"United Parcel Service, Inc.",78736,36,Industrials,9.54037819,598.5342725,160.5395155
"Dominion Resources, Inc.",34641,36,Utilities,6.328111567,624.9893781,164.4228012
"The McGraw-Hill Companies, Inc.",14632,36,Financials,4.112735343,612.7212358,157.550663
"Tyson Foods, Inc.",8427,36,Consumer products,3.121155555,622.6766336,146.8539604
Expeditors International of Washington Inc.,7535,36,Industrials,2.951348844,609.2171782,143.6517143
"Dollar Tree, Inc.",10563,36,Consumer products,3.494399519,615.1952759,148.4314789
International Game Technology,4289,36,Consumer products,2.226675549,608.2234621,137.5714587
Cintas Corporation,5431,36,Industrials,2.505640836,620.9960619,140.5146307
Equifax Inc.,6862,36,Industrials,2.81646445,600.8442591,147.4178338
"WPX Energy, Inc.",3405,36,Energy,1.983980847,598.217657,142.2595812
Exxon Mobil Corporation,396968,37,Energy,21.42183484,617.1760238,198.0892996
"National Oilwell Varco, Inc.",28939,37,Energy,5.783898685,590.4614196,146.2459324
"Best Buy Co., Inc.",8795,37,Retailers,3.188576485,607.8357059,150.5545999
"Automatic Data Processing, Inc.",31167,37,Information technology,6.002420512,595.6159039,176.4673766
"Fiserv, Inc.",11436,37,Information technology,3.635933993,620.7345638,154.3518185
"Republic Services, Inc.",11781,37,Industrials,3.690370713,585.3888624,155.3679162
"Whole Foods Market, Inc.",15520,37,Retailers,4.235695929,629.2392343,151.9852595
Robert Half International Inc.,4993,37,Industrials,2.402479552,615.19903,141.5563884
Legg Mason Inc.,4053,37,Financials,2.16454799,603.3549392,142.0064476
CVS Caremark Corporation,69489,38,Retailers,8.962660542,641.5371946,217.5691648
"Lorillard, Inc.",15598,38,Consumer products,4.246326412,651.3923698,175.2794148
Bed Bath & Beyond Inc.,14440,38,Retailers,4.085662737,650.2038526,164.5345355
Genuine Parts Company,12061,38,Consumer products,3.733967863,658.2703807,161.0306887
Tiffany & Co.,9014,38,Retailers,3.228030979,655.0696545,153.7413672
Fastenal Company,14918,38,Industrials,4.152735002,643.3071032,170.5686767
Abercrombie & Fitch Co.,3867,38,Retailers,2.114297046,642.483182,153.9034334
CarMax Inc.,9670,38,Retailers,3.343429377,642.5086734,160.3691487
Iron Mountain Inc.,6929,38,Industrials,2.830180913,648.7086754,156.7746556
PerkinElmer Inc.,3807,38,Health care,2.097830308,637.6266786,152.0130552
Chevron Corporation,228869,39,Energy,16.26568671,659.7493435,198.7419475
Lowe's Companies Inc.,42430,39,Retailers,7.003504837,641.7183621,182.59115
Humana Inc.,12327,39,Health care,3.774918807,635.8423413,165.9724968
Allergan Inc.,33550,39,Pharma,6.227664089,661.9907057,171.3705645
The Hershey Company,19103,39,Consumer products,4.699262495,631.6964303,174.4679671
"Dr Pepper Snapple Group, Inc.",9521,39,Consumer products,3.317570798,635.2531616,157.936957
"The Home Depot, Inc.",105799,40,Retailers,11.05909779,664.4918609,226.6292383
Bank of America Corporation,132141,40,Financials,12.35940921,700.4601625,201.7559682
The Dow Chemical Company,37065,40,Materials,6.545772682,673.2911555,179.2172653
"The Gap, Inc.",17146,40,Retailers,4.45205301,671.9606534,165.5518856
Nordstrom Inc.,10825,40,Retailers,3.537470848,687.8064355,157.3407727
"ConAgra Foods, Inc.",14421,40,Consumer products,4.082973916,687.2961866,165.9381341
The Clorox Company,11441,40,Consumer products,3.63672875,679.6852165,170.0826295
Monster Beverage Corporation,8610,40,Consumer products,3.154862913,673.3955757,157.093841
Pentair Ltd.,10811,40,Industrials,3.535182598,679.9086534,161.5528359
News Corp.,73032,41,Consumer products,9.188307352,681.4279483,213.8192835
Morgan Stanley,42628,41,Financials,7.019826778,683.1921462,190.3285788
The Charles Schwab Corporation,21524,41,Financials,4.988160382,685.669983,177.5818158
BB&T Corporation,21263,42,Financials,4.957824926,714.1083872,173.1363621
Coventry Health Care Inc.,6503,42,Health care,2.741800139,706.8312329,168.3780184
Assurant Inc.,3614,42,Insurance,2.043962818,704.3063959,163.1784773
Comerica Incorporated,6493,42,Financials,2.739691223,722.2207215,160.6825763
Pfizer Inc.,209533,43,Pharma,15.5634234,727.0157736,190.3459558
Altria Group Inc.,70631,43,Consumer products,9.036007747,700.5495422,179.4137307
Newmont Mining Corporation,19378,43,Materials,4.732966089,696.9788157,165.1058645
CME Group Inc.,20098,43,Financials,4.820092115,724.0667289,169.0397419
Safeway Inc.,6072,43,Retailers,2.649383324,713.2596561,156.5284908
"SAIC, Inc.",4736,43,Information technology,2.339832473,709.1203954,160.8281528
"Fidelity National Information Services, Inc.",11532,43,Information technology,3.651163102,715.4642636,163.6559561
Baker Hughes Incorporated,19776,44,Energy,4.781323666,746.1002013,175.3933005
Sysco Corporation,20017,44,Consumer products,4.810369217,748.1240989,187.0130294
Apollo Group Inc.,1875,44,Consumer products,1.472243186,742.9358231,181.9084149
Visa Inc.,109944,45,Information technology,11.27365353,752.7795087,203.4430845
Northrop Grumman Corporation,16888,47,Industrials,4.418430491,781.8139965,207.0011423
Alcoa Inc.,8972,47,Materials,3.220501824,774.6513365,198.2605965
Avon Products Inc.,8906,48,Consumer products,3.208634601,807.772843,200.1559316
Life Technologies Corporation,11168,48,Health care,3.593077789,814.4968269,207.8249621
Hess Corporation,24530,52,Energy,5.32509906,875.6451803,194.6208674
The Bank of New York Mellon Corporation,31942,52,Financials,6.076590491,868.4265804,204.7046518
SanDisk Corp.,13444,52,Information technology,3.942240987,879.5350411,185.1218898
"Mondelez International, Inc.",53767,53,Consumer products,7.883822169,884.6341286,205.623534
Constellation Brands Inc.,8921,53,Consumer products,3.211335548,869.9471842,186.9793398
"Owens-Illinois, Inc.",4207,56,Materials,2.205287283,946.9045418,204.7873505
Marathon Oil Corporation,23252,58,Energy,5.184526208,967.4024998,204.777067
"Actavis, Inc.",12565,64,Pharma,3.811186167,1075.271762,198.7823809
TE Connectivity Ltd.,17340,65,Information technology,4.477168748,1080.839457,207.151707
"Hudson City Bancorp, Inc.",4210,65,Financials,2.206073435,1068.411686,200.2570161
Freeport-McMoRan Copper & Gold Inc.,30791,66,Materials,5.966103921,1117.47904,204.5921056
Vulcan Materials Company,6358,68,Materials,2.711060309,1106.054189,194.6466809
"Harman International Industries, Incorporated",2906,72,Consumer products,1.832849148,1212.524207,204.8302023
ConocoPhillips,72417,74,Energy,9.149538349,1254.492974,203.1734414
SLM Corporation,9026,74,Financials,3.230178942,1238.736267,188.4664285
"Motorola Solutions, Inc.",17202,80,Information technology,4.459317437,1350.85848,204.8347545
AutoNation Inc.,5119,85,Retailers,2.432604366,1413.591562,204.8541758
Jabil Circuit Inc.,3670,88,Information technology,2.059737847,1479.207103,204.8596719
Goodyear Tire & Rubber Co.,3052,92,Consumer products,1.878326915,1545.205898,204.8630301
